LED1  voltage,photoresistor  voltage,Time,LED2  voltage,photoresistor  voltage,Time,LED3  voltage,photoresistor  voltage,Time
1540,0,Sat Oct  5 21:09:26 2024,1540,0,Sat Oct  5 21:52:24 2024,1540,0,Sat Oct  5 22:13:00 2024
1560,0,Sat Oct  5 21:09:34 2024,1560,0,Sat Oct  5 21:52:32 2024,1560,0,Sat Oct  5 22:13:09 2024
1580,0,Sat Oct  5 21:09:43 2024,1580,0,Sat Oct  5 21:52:41 2024,1580,0,Sat Oct  5 22:13:17 2024
1600,0,Sat Oct  5 21:09:51 2024,1600,0,Sat Oct  5 21:52:49 2024,1600,0,Sat Oct  5 22:13:26 2024
1620,0,Sat Oct  5 21:10:00 2024,1620,6,Sat Oct  5 21:52:58 2024,1620,21,Sat Oct  5 22:13:34 2024
1640,0,Sat Oct  5 21:10:08 2024,1640,18,Sat Oct  5 21:53:06 2024,1640,49,Sat Oct  5 22:13:43 2024
1660,12,Sat Oct  5 21:10:17 2024,1660,112,Sat Oct  5 21:53:15 2024,1660,210,Sat Oct  5 22:13:51 2024
1680,25,Sat Oct  5 21:10:25 2024,1680,164,Sat Oct  5 21:53:23 2024,1680,304,Sat Oct  5 22:14:00 2024
1700,67,Sat Oct  5 21:10:34 2024,1700,318,Sat Oct  5 21:53:32 2024,1700,566,Sat Oct  5 22:14:08 2024
1720,93,Sat Oct  5 21:10:42 2024,1720,407,Sat Oct  5 21:53:40 2024,1720,699,Sat Oct  5 22:14:17 2024
1740,167,Sat Oct  5 21:10:51 2024,1740,647,Sat Oct  5 21:53:49 2024,1740,1052,Sat Oct  5 22:14:25 2024
1760,255,Sat Oct  5 21:10:59 2024,1760,928,Sat Oct  5 21:53:57 2024,1760,1429,Sat Oct  5 22:14:34 2024
1780,303,Sat Oct  5 21:11:08 2024,1780,1062,Sat Oct  5 21:54:06 2024,1780,1598,Sat Oct  5 22:14:42 2024
1800,403,Sat Oct  5 21:11:16 2024,1800,1329,Sat Oct  5 21:54:14 2024,1800,1918,Sat Oct  5 22:14:51 2024
1820,460,Sat Oct  5 21:11:25 2024,1820,1461,Sat Oct  5 21:54:23 2024,1820,2049,Sat Oct  5 22:14:59 2024
1840,566,Sat Oct  5 21:11:33 2024,1840,1712,Sat Oct  5 21:54:31 2024,1840,2307,Sat Oct  5 22:15:08 2024
1860,621,Sat Oct  5 21:11:42 2024,1860,1816,Sat Oct  5 21:54:40 2024,1860,2424,Sat Oct  5 22:15:16 2024
1880,718,Sat Oct  5 21:11:50 2024,1880,1986,Sat Oct  5 21:54:48 2024,1880,2628,Sat Oct  5 22:15:25 2024
1900,774,Sat Oct  5 21:11:59 2024,1900,2086,Sat Oct  5 21:54:57 2024,1900,2756,Sat Oct  5 22:15:33 2024
